Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.4.Raumlufttemperatur [C]
465	20	20	20	20
466	20	20	20	20
467	20	20	20	20
468	20	20	20	20
469	20	20	20	20
470	20	20	20	20
471	20	20	20	20
472	20	20	20	20
473	20	20	20	20
474	20	20	20	20
475	20	20	20	20
476	20	20	20	20
477	20	20	20	20
478	20	20	20	20
479	20	20	20	20
480	20	20	20	20
481	20	20	20	20
482	20	20	20	20
483	20	20	20	20
484	20	20	20	20
485	20	20	20	20
486	20	20	20	20
487	20	20	20	20
488	20	20	20	20
489	20	20	20	20
490	20	20	20	20
491	20	20	20	20
492	20	20	20	20
493	20	20	20	20
494	20	20	20	20
495	20	20	20	20
496	20	20	20	20
497	20	20	20	20
498	20	20	20	20
499	20	20	20	20
500	20	20	20	20
501	20	20	20	20
502	20	20	20	20
503	20	20	20	20
504	20	20	20	20
505	20	20	20	20
506	20	20	20	20
507	20	20	20	20
508	20	20	20	20
509	20	20	20	20
510	20	20	20	20
511	20	20	20	20
512	20	20	20	20
513	20	20	20	20
514	20	20	20	20
515	20	20	20	20
516	20	20	20	20
517	20	20	20	20
518	20	20	20	20
519	20	20	20	20
520	20	20	20	20
521	20	20	20	20
522	20	20	20	20
523	20	20	20	20
524	20	20	20	20
525	20	20	20	20
526	20	20	20	20
527	20	20	20	20
528	20	20	20	20
529	20	20	20	20
530	20	20	20	20
531	20	20	20	20
532	20	20	20	20
533	20	20	20	20
534	20	20	20	20
535	20	20	20	20
536	20	20	20	20
537	20	20	20	20
538	20	20	20	20
539	20	20	20	20
540	20	20	20	20
541	20	20	20	20
542	20	20	20	20
543	20	20	20	20
544	20	20	20	20
545	20	20	20	20
546	20	20	20	20
547	20	20	20	20
548	20	20	20	20
549	20	20	20	20
550	20	20	20	20
551	20	20	20	20
552	20	20	20	20
553	20	20	20	20
554	20	20	20	20
555	20	20	20	20
556	20	20	20	20
557	20	20	20	20
558	20	20	20	20
559	20	20	20	20
560	20	20	20	20
561	20	20	20	20
562	20	20	20	20
563	20	20	20	20
564	20	20	20	20
565	20	20	20	20
566	20	20	20	20
567	20	20	20	20
568	20	20	20	20
569	20	20	20	20
570	20	20	20	20
571	20	20	20	20
572	20	20	20	20
573	20	20	20	20
574	20	20	20	20
575	20	20	20	20
576	20	20	20	20
577	20	20	20	20
578	20	20	20	20
579	20	20	20	20
580	20	20	20	20
581	20	20	20	20
582	20	20	20	20
583	20	20	20	20
584	20	20	20	20
585	20	20	20	20
586	20	20	20	20
587	20	20	20	20
588	20	20	20	20
589	20	20	20	20
590	20	20	20	20
591	20	20	20	20
592	20	20	20	20
593	20	20	20	20
594	20	20	20	20
595	20	20	20	20
596	20	20	20	20
597	20	20	20	20
598	20	20	20	20
599	20	20	20	20
600	20	20	20	20
601	20	20	20	20
602	20	20	20	20
603	20	20	20	20
604	20	20	20	20
605	20	20	20	20
606	20	20	20	20
607	20	20	20	20
608	20	20	20	20
609	20	20	20	20
610	20	20	20	20
611	20	20	20	20
612	20	20	20	20
613	20	20	20	20
614	20	20	20	20
615	20	20	20	20
616	20	20	20	20
617	20	20	20	20
618	20	20	20	20
619	20	20	20	20
620	20	20	20	20
621	20	20	20	20
622	20	20	20	20
623	20	20	20	20
624	20	20	20	20
625	20	20	20	20
626	20	20	20	20
627	20	20	20	20
628	20	20	20	20
629	20	20	20	20
630	20	20	20	20
631	20	20	20	20
632	20	20	20	20
633	20	20	20	20
634	20	20	20	20
635	20	20	20	20
636	20	20	20	20
637	20	20	20	20
638	20	20	20	20
639	20	20	20	20
640	20	20	20	20
641	20	20	20	20
642	20	20	20	20
643	20	20	20	20
644	20	20	20	20
645	20	20	20	20
646	20	20	20	20
647	20	20	20	20
648	20	20	20	20
649	20	20	20	20
650	20	20	20	20
651	20	20	20	20
652	20	20	20	20
653	20	20	20	20
654	20	20	20	20
655	20	20	20	20
656	20	20	20	20
657	20	20	20	20
658	20	20	20	20
659	20	20	20	20
660	20	20	20	20
661	20	20	20	20
662	20	20	20	20
663	20	20	20	20
664	20	20	20	20
665	20	20	20	20
666	20	20	20	20
667	20	20	20	20
668	20	20	20	20
669	20	20	20	20
670	20	20	20	20
671	20	20	20	20
672	20	20	20	20
673	20	20	20	20
674	20	20	20	20
675	20	20	20	20
676	20	20	20	20
677	20	20	20	20
678	20	20	20	20
679	20	20	20	20
680	20	20	20	20
681	20	20	20	20
682	20	20	20	20
683	20	20	20	20
684	20	20	20	20
685	20	20	20	20
686	20	20	20	20
687	20	20	20	20
688	20	20	20	20
689	20	20	20	20
690	20	20	20	20
691	20	20	20	20
692	20	20	20	20
693	20	20	20	20
694	20	20	20	20
695	20	20	20	20
696	20	20	20	20
697	20	20	20	20
698	20	20	20	20
699	20	20	20	20
700	20	20	20	20
701	20	20	20	20
702	20	20	20	20
703	20	20	20	20
704	20	20	20	20
705	20	20	20	20
706	20	20	20	20
707	20	20	20	20
708	20	20	20	20
709	20	20	20	20
710	20	20	20	20
711	20	20	20	20
712	20	20	20	20
713	20	20	20	20
714	20	20	20	20
715	20	20	20	20
716	20	20	20	20
717	20	20	20	20
718	20	20	20	20
719	20	20	20	20
720	20	20	20	20
721	20	20	20	20
722	20	20	20	20
723	20	20	20	20
724	20	20	20	20
725	20	20	20	20
726	20	20	20	20
727	20	20	20	20
728	20	20	20	20
729	20	20	20	20
730	20	20	20	20
731	20	20	20	20
732	20	20	20	20
733	20	20	20	20
734	20	20	20	20
735	20	20	20	20
736	20	20	20	20
737	20	20	20	20
738	20	20	20	20
739	20	20	20	20
740	20	20	20	20
741	20	20	20	20
742	20	20	20	20
743	20	20	20	20
744	21.48	20.19	20	20
745	22.9895	20.409	20	20
746	23.048	20.4675	20	20
747	23.1065	20.526	20	20
748	23.165	20.584	20	20
749	23.223	20.642	20	20
750	23.2805	20.7	20.925	20.1185
751	23.338	20.7575	23.0895	20.412
752	23.3955	20.815	25.2965	20.7485
753	23.4525	20.8725	26.325	20.9705
754	23.5095	20.9295	26.4465	21.0915
755	23.5665	20.986	25.975	21.136
756	23.6235	21.0425	25.4915	21.1685
757	23.68	21.099	26.18	21.341
758	23.736	21.1555	26.88	21.525
759	23.792	21.212	26.9995	21.6445
760	23.848	21.268	26.193	21.6445
761	23.904	21.3235	24.147	21.4695
762	23.9595	21.379	22.058	21.2515
763	24.015	21.4345	21.1475	21.1475
764	24.0705	21.4895	21.144	21.144
765	24.1255	21.5445	21.14	21.14
766	24.18	21.5995	21.136	21.136
767	24.2345	21.654	21.1325	21.1325
768	24.289	21.7085	21.129	21.129
769	24.343	21.763	21.125	21.125
770	24.397	21.817	21.121	21.1215
771	24.451	21.871	21.1175	21.118
772	24.505	21.9245	21.114	21.114
773	24.559	21.978	21.11	21.1105
774	24.6125	22.0315	22.0315	21.2255
775	24.6655	22.0845	24.1925	21.515
776	24.7185	22.1375	26.396	21.8475
777	24.7715	22.1905	27.421	22.066
778	24.824	22.2435	27.5385	22.1835
779	24.8765	22.296	27.0635	22.2245
780	24.929	22.3485	26.5765	22.2535
781	24.981	22.401	27.2615	22.4225
782	25.033	22.453	27.958	22.603
783	25.085	22.5045	28.0735	22.719
784	25.137	22.556	27.2635	22.7155
785	25.1885	22.6075	25.214	22.5365
786	25.2395	22.659	23.1215	22.315
787	25.2905	22.7105	22.2075	22.2075
788	25.3415	22.7615	22.2005	22.2005
789	25.3925	22.812	22.1935	22.1935
790	25.4435	22.8625	22.1865	22.1865
791	25.494	22.913	22.179	22.179
792	25.544	22.9635	22.1715	22.1715
793	25.594	23.014	22.1645	22.1645
794	25.644	23.064	22.1575	22.1575
795	25.694	23.1135	22.1505	22.1505
796	25.744	23.163	22.1435	22.1435
797	25.7935	23.2125	22.1365	22.1365
798	25.8425	23.262	23.0545	22.248
799	25.8915	23.3115	25.212	22.5345
800	25.9405	23.3605	27.412	22.8635
801	25.9895	23.4095	28.4335	23.0785
802	26.0385	23.458	28.548	23.193
803	26.087	23.5065	28.0695	23.231
804	26.1355	23.555	27.579	23.2565
805	26.184	23.603	28.261	23.422
806	26.232	23.651	28.954	23.599
807	26.28	23.699	29.066	23.7115
808	26.3275	23.747	28.253	23.705
809	26.375	23.7945	26.2005	23.523
810	26.4225	23.842	24.105	23.2985
811	26.4695	23.8895	23.1875	23.1875
812	26.5165	23.9365	23.177	23.177
813	26.5635	23.9835	23.167	23.167
814	26.6105	24.03	23.1565	23.1565
815	26.6575	24.0765	23.146	23.146
816	26.704	24.1235	23.1355	23.136
817	26.75	24.17	23.125	23.1255
818	26.7965	24.216	23.115	23.115
819	26.843	24.262	23.105	23.105
820	26.8885	24.308	23.095	23.095
821	26.934	24.3535	23.0845	23.0845
822	26.98	24.399	23.999	23.193
823	27.0255	24.4445	26.1535	23.4765
824	27.0705	24.49	28.3505	23.8025
825	27.1155	24.5355	29.369	24.0145
826	27.1605	24.5805	29.4805	24.1255
827	27.2055	24.625	28.999	24.1605
828	27.2505	24.6695	28.5055	24.183
829	27.295	24.7145	29.184	24.3455
830	27.339	24.759	29.874	24.5195
831	27.3835	24.803	29.9835	24.629
832	27.428	24.847	29.1675	24.6195
833	27.472	24.891	27.112	24.4345
834	27.5155	24.935	25.0135	24.207
835	27.559	24.9785	24.093	24.093
836	27.603	25.022	24.0795	24.0795
837	27.6465	25.0655	24.0665	24.0665
838	27.6895	25.109	24.053	24.053
839	27.7325	25.1525	24.0395	24.0395
840	27.7755	25.195	24.0265	24.0265
841	27.8185	25.2375	24.013	24.0135
842	27.861	25.2805	23.9995	24
843	27.9035	25.323	23.9865	23.9865
844	27.946	25.3655	23.9735	23.9735
845	27.9885	25.408	23.9605	23.9605
846	28.031	25.45	24.8725	24.066
847	28.073	25.492	27.024	24.3465
848	28.1145	25.534	29.2185	24.67
849	28.156	25.5755	30.234	24.879
850	28.198	25.617	30.342	24.987
851	28.2395	25.6585	29.858	25.019
852	28.2805	25.7	29.362	25.039
853	28.3215	25.7415	30.0375	25.199
854	28.3625	25.7825	30.7245	25.3705
855	28.4035	25.8235	30.8315	25.477
856	28.4445	25.864	30.013	25.4645
857	28.485	25.9045	27.9545	25.277
858	28.5255	25.945	25.853	25.0465
859	28.566	25.9855	24.93	24.93
860	28.606	26.026	24.9135	24.914
861	28.646	26.066	24.897	24.8975
862	28.686	26.106	24.881	24.881
863	28.726	26.146	24.865	24.865
864	28.766	26.1855	24.849	24.849
865	28.8055	26.225	24.833	24.8335
866	28.845	26.2645	24.8175	24.818
867	28.8845	26.3035	24.802	24.802
868	28.9235	26.343	24.786	24.786
869	28.9625	26.3825	24.77	24.77
870	29.0015	26.421	25.6795	24.873
871	29.0405	26.4595	27.8285	25.151
872	29.079	26.4985	30.02	25.4715
873	29.1175	26.537	31.033	25.678
874	29.156	26.5755	31.1385	25.7835
875	29.194	26.614	30.6515	25.813
876	29.2325	26.652	30.153	25.8305
877	29.271	26.69	30.8265	25.9875
878	29.3085	26.728	31.511	26.156
879	29.346	26.766	31.615	26.26
880	29.384	26.8035	30.7935	26.245
881	29.4215	26.841	28.7325	26.055
882	29.459	26.8785	26.6285	25.822
883	29.4965	26.9155	25.703	25.703
884	29.5335	26.953	25.6845	25.6845
885	29.5705	26.9905	25.6655	25.6655
886	29.6075	27.027	25.647	25.647
887	29.6445	27.0635	25.6285	25.6285
888	29.681	27.1005	25.61	25.61
889	29.7175	27.137	25.5915	25.5915
890	29.754	27.1735	25.573	25.573
891	29.7905	27.21	25.555	25.555
892	29.827	27.246	25.5365	25.537
893	29.863	27.282	25.518	25.5185
894	29.899	27.318	26.425	25.619
895	29.935	27.354	28.5715	25.8945
896	29.9705	27.39	30.7605	26.2125
897	30.006	27.4255	31.771	26.4165
898	30.0415	27.461	31.8745	26.5195
899	30.077	27.4965	31.3855	26.5465
900	30.1125	27.5315	30.884	26.5615
901	30.1475	27.5665	31.5545	26.7165
902	30.1825	27.6015	32.237	26.8825
903	30.2175	27.6365	32.339	26.984
904	30.2525	27.6715	31.5155	26.967
905	30.287	27.7065	29.452	26.7745
906	30.3215	27.741	27.3455	26.539
907	30.356	27.7755	26.4175	26.4175
908	30.3905	27.81	26.3965	26.3965
909	30.425	27.844	26.3755	26.3755
910	30.459	27.878	26.3545	26.3545
911	30.493	27.912	26.3335	26.3335
912	30.527	27.946	26.3125	26.3125
913	30.5605	27.98	26.292	26.292
914	30.594	28.014	26.2715	26.2715
915	30.628	28.0475	26.2505	26.251
916	30.6615	28.081	26.23	26.2305
917	30.6945	28.1145	26.21	26.21
918	30.728	28.1475	27.1145	26.3085
919	30.7615	28.1805	29.2585	26.5815
920	30.7945	28.2135	31.4455	26.897
921	30.827	28.2465	32.4535	27.0985
922	30.8595	28.2795	32.5545	27.1995
923	30.8925	28.312	32.063	27.2245
924	30.925	28.3445	31.5595	27.2375
925	30.9575	28.377	32.2285	27.39
926	30.99	28.4095	32.9085	27.554
927	31.022	28.442	33.008	27.6535
928	31.0545	28.474	32.182	27.634
929	31.087	28.506	30.116	27.439
930	31.119	28.538	28.0075	27.201
931	31.1505	28.57	27.0775	27.0775
932	31.182	28.602	27.0545	27.0545
933	31.214	28.6335	27.0315	27.0315
934	31.2455	28.665	27.0085	27.0085
935	31.277	28.6965	26.9855	26.9855
936	31.3085	28.7275	26.9625	26.9625
937	31.3395	28.759	26.9395	26.9395
938	31.3705	28.7905	26.9165	26.9165
939	31.4015	28.8215	26.8935	26.894
940	31.4325	28.852	26.871	26.8715
941	31.4635	28.8825	26.8485	26.8485
942	31.494	28.9135	27.751	26.9445
943	31.5245	28.9445	29.8935	27.216
944	31.5555	28.975	32.078	27.53
945	31.586	29.005	33.084	27.7295
946	31.616	29.0355	33.183	27.8285
947	31.646	29.066	32.6895	27.851
948	31.676	29.096	32.184	27.8615
949	31.706	29.126	32.8505	28.012
950	31.736	29.156	33.5285	28.174
951	31.766	29.186	33.626	28.2715
952	31.796	29.2155	32.798	28.25
953	31.8255	29.245	30.73	28.053
954	31.855	29.2745	28.6195	27.813
955	31.8845	29.304	27.6875	27.6875
956	31.914	29.3335	27.6625	27.6625
957	31.9435	29.3625	27.6375	27.6375
958	31.9725	29.3915	27.6125	27.6125
959	32.0015	29.4205	27.5875	27.5875
960	32.0305	29.4495	27.5625	27.5625
961	32.0595	29.4785	27.5375	27.5375
962	32.088	29.5075	27.5125	27.5125
963	32.1165	29.536	27.488	27.488
964	32.1455	29.5645	27.4635	27.4635
965	32.174	29.593	27.439	27.439
966	32.202	29.6215	28.34	27.5335
967	32.2305	29.65	30.48	27.8025
968	32.259	29.678	32.6625	28.114
969	32.287	29.706	33.6665	28.312
970	32.315	29.734	33.7635	28.409
971	32.343	29.762	33.268	28.4295
972	32.3705	29.79	32.7605	28.4385
973	32.398	29.818	33.4255	28.587
974	32.426	29.8455	34.102	28.747
975	32.4535	29.873	34.1975	28.8425
976	32.481	29.9005	33.3675	28.819
977	32.5085	29.928	31.298	28.6205
978	32.5355	29.9555	29.1855	28.379
979	32.563	29.9825	28.2515	28.2515
980	32.5905	30.0095	28.2245	28.2245
981	32.6175	30.0365	28.1975	28.1975
982	32.644	30.0635	28.1705	28.1705
983	32.6705	30.0905	28.1435	28.1435
984	32.6975	30.1175	28.117	28.117
985	32.7245	30.144	28.0905	28.0905
986	32.751	30.1705	28.0635	28.064
987	32.7775	30.197	28.037	28.0375
988	32.804	30.2235	28.011	28.011
989	32.83	30.25	27.9845	27.9845
990	32.8565	30.276	28.883	28.077
991	32.883	30.302	31.0215	28.3445
992	32.909	30.328	33.2025	28.6545
993	32.935	30.354	34.205	28.8505
994	32.9605	30.38	34.3005	28.9455
995	32.986	30.406	33.803	28.9645
996	33.012	30.4315	33.2935	28.9715
997	33.038	30.457	33.9565	29.1185
998	33.0635	30.483	34.631	29.277
999	33.0885	30.5085	34.725	29.3705
1000	33.114	30.5335	33.8935	29.345
1001	33.1395	30.559	31.822	29.145
1002	33.1645	30.5845	29.708	28.902
1003	33.1895	30.6095	28.7725	28.7725
1004	33.2145	30.6345	28.7435	28.7435
1005	33.2395	30.6595	28.715	28.715
1006	33.2645	30.6845	28.6865	28.6865
1007	33.2895	30.709	28.658	28.658
1008	33.3145	30.7335	28.6295	28.6295
1009	33.339	30.7585	28.601	28.601
1010	33.3635	30.783	28.573	28.573
1011	33.388	30.8075	28.545	28.545
1012	33.4125	30.832	28.517	28.517
1013	33.437	30.856	28.489	28.489
1014	33.461	30.8805	29.386	28.5795
1015	33.485	30.905	31.5225	28.845
1016	33.509	30.929	33.702	29.1535
1017	33.533	30.953	34.7025	29.348
1018	33.557	30.977	34.796	29.4415
1019	33.581	31.0005	34.2975	29.4585
1020	33.605	31.024	33.7865	29.464
1021	33.6285	31.048	34.448	29.6095
1022	33.652	31.0715	35.121	29.766
1023	33.6755	31.095	35.213	29.858
1024	33.699	31.1185	34.38	29.8315
1025	33.7225	31.142	32.307	29.6295
1026	33.7455	31.1655	30.191	29.3845
1027	33.769	31.1885	29.254	29.254
1028	33.7925	31.2115	29.2235	29.2235
1029	33.8155	31.2345	29.193	29.193
1030	33.8385	31.2575	29.163	29.163
1031	33.8615	31.2805	29.133	29.133
1032	33.8845	31.3035	29.103	29.103
1033	33.907	31.3265	29.073	29.073
1034	33.9295	31.349	29.043	29.043
1035	33.9525	31.3715	29.0135	29.0135
1036	33.975	31.3945	28.984	28.984
1037	33.997	31.417	28.9545	28.9545
1038	34.0195	31.439	29.8505	29.044
1039	34.042	31.4615	31.9855	29.308
1040	34.064	31.484	34.163	29.615
1041	34.0865	31.506	35.162	29.808
1042	34.109	31.528	35.254	29.9
1043	34.131	31.55	34.754	29.9155
1044	34.153	31.572	34.242	29.919
1045	34.1745	31.594	34.902	30.063
1046	34.196	31.616	35.573	30.2185
1047	34.218	31.6375	35.6635	30.309
1048	34.24	31.659	34.829	30.2805
1049	34.2615	31.681	32.7545	30.077
1050	34.283	31.7025	30.6375	29.831
1051	34.3045	31.724	29.699	29.699
1052	34.3255	31.7455	29.667	29.667
1053	34.347	31.7665	29.635	29.635
1054	34.3685	31.788	29.6035	29.6035
1055	34.3895	31.8095	29.572	29.572
1056	34.4105	31.8305	29.5405	29.5405
1057	34.4315	31.8515	29.5095	29.5095
1058	34.4525	31.8725	29.478	29.4785
1059	34.4735	31.8935	29.4465	29.447
